model,seed,test_accuracy,test_f1_macro,elapsed_seconds,trainable_params,model_size_bytes,metrics_path
efficientnet_b0,41,0.9983850129198967,0.9986708157099113,2094.1194570360003,4026763,16382373,results/phase2/runs/efficientnet_b0/seed_41/metrics.json
efficientnet_b0,42,0.997093023255814,0.9976277232254922,1899.4931497529997,4026763,16382373,results/phase2/runs/efficientnet_b0/seed_42/metrics.json
efficientnet_b0,43,0.9983850129198967,0.99843014719312,2161.449463979001,4026763,16382373,results/phase2/runs/efficientnet_b0/seed_43/metrics.json
resnet18,41,0.9974160206718347,0.9977969054541238,1772.3804204999997,11184207,44809163,results/phase2/runs/resnet18/seed_41/metrics.json
resnet18,42,0.9987080103359173,0.9989946652973828,1828.9679287190002,11184207,44809163,results/phase2/runs/resnet18/seed_42/metrics.json
resnet18,43,0.9983850129198967,0.9985459882379046,1799.056647249,11184207,44809163,results/phase2/runs/resnet18/seed_43/metrics.json
resnet50,41,0.9974160206718347,0.9976470410006716,1612.519474793,23538767,94455021,results/phase2/runs/resnet50/seed_41/metrics.json
resnet50,42,0.9954780361757106,0.9945334729704367,1656.1608034239998,23538767,94455021,results/phase2/runs/resnet50/seed_42/metrics.json
resnet50,43,0.9958010335917312,0.9962357979260079,1731.490560155,23538767,94455021,results/phase2/runs/resnet50/seed_43/metrics.json
vit_small_patch16_224,41,0.9964470284237726,0.9966537249127411,1363.2610198549992,21671439,86734581,results/phase2/runs/vit_small_patch16_224/seed_41/metrics.json
vit_small_patch16_224,42,0.9977390180878553,0.9982086159254402,1555.6383053139998,21671439,86734581,results/phase2/runs/vit_small_patch16_224/seed_42/metrics.json
vit_small_patch16_224,43,0.9977390180878553,0.9978429258583837,2221.234004467,21671439,86734581,results/phase2/runs/vit_small_patch16_224/seed_43/metrics.json
